Top pages,Clicks,Impressions,CTR,Position
https://getopentools.com/guides/pdf-merge-pdf,40,900,4.44%,6.2
https://www.getopentools.com/guides/pdf-merge-pdf/,2,100,2%,11
http://getopentools.com/guides/developer-and-data-jwt-decoder,3,20,15%,9.5
"https://getopentools.com/guides/text-and-writing-text-case-converter?utm_source=x#how-it-works",0,"1,250",0%,24.1
https://getopentools.com/guides/math-and-units-percentage-calculator,2,99,2.02%,30
https://getopentools.com/guides/video-video-to-gif,15,400,3.75%,5
https://getopentools.com/guides/category/pdf,50,2000,2.5%,4
https://getopentools.com/pdf/merge,120,3000,4%,3
https://staging.example.test/guides/pdf-compress-pdf,99,9999,1%,1
"https://getopentools.com/guides/pdf-compress-pdf",1,"100",1%,8
